"date","district","primary_type","arrest","domestic","case_number"
"2018-01-10T13:00:00.000","001","OTHER OFFENSE","false","false","JB112244"
"2018-01-10T13:09:00.000","001","THEFT","false","false","JB111177"
"2018-01-10T13:09:00.000","001","DECEPTIVE PRACTICE","false","false","JB111180"
"2018-01-10T13:15:00.000","001","THEFT","true","false","JB111161"
"2018-01-10T13:45:00.000","001","DECEPTIVE PRACTICE","false","false","JB112207"
"2018-01-10T14:00:00.000","001","THEFT","false","false","JB117135"
"2018-01-10T14:50:00.000","001","THEFT","false","false","JB111476"
"2018-01-10T15:50:00.000","001","THEFT","false","false","JB111240"
"2018-01-10T16:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB222154"
"2018-01-10T16:00:00.000","001","THEFT","false","false","JB117321"
"2018-01-10T16:15:00.000","001","THEFT","false","false","JB111944"
"2018-01-10T17:55:00.000","001","BATTERY","false","false","JB111576"
"2018-01-10T18:00:00.000","001","THEFT","false","false","JB111935"
"2018-01-10T18:00:00.000","001","THEFT","false","false","JB116875"
"2018-01-10T18:20:00.000","001","THEFT","false","false","JB111486"
"2018-01-10T18:30:00.000","001","ROBBERY","false","false","JB111540"
"2018-01-10T19:00:00.000","001","THEFT","false","false","JB111703"
"2018-01-10T19:30:00.000","001","THEFT","false","false","JB112790"
"2018-01-10T20:00:00.000","001","MOTOR VEHICLE THEFT","false","false","JB128069"
"2018-01-10T23:00:00.000","001","THEFT","false","false","JB111832"
"2018-01-11T00:00:00.000","001","DECEPTIVE PRACTICE","false","true","JE338061"
